time,open,high,low,close,tick_volume,spread,real_volume
2025-11-24 18:00:00,4092.931,4125.741,4088.005,4120.456,20386,160,0
2025-11-24 19:00:00,4120.488,4124.176,4113.913,4118.508,15232,160,0
2025-11-24 20:00:00,4118.531,4133.405,4117.942,4132.62,13354,160,0
2025-11-24 21:00:00,4132.634,4140.021,4130.111,4134.086,6067,160,0
2025-11-24 23:00:00,4134.311,4144.405,4125.125,4143.81,19024,160,0
2025-11-25 00:00:00,4143.802,4144.609,4127.612,4129.512,19383,160,0
2025-11-25 01:00:00,4129.563,4139.246,4122.524,4134.809,27524,160,0
2025-11-25 02:00:00,4134.754,4155.82,4132.707,4150.819,20394,160,0
2025-11-25 03:00:00,4150.912,4151.083,4139.543,4143.052,16695,160,0
2025-11-25 04:00:00,4143.026,4148.417,4139.453,4140.807,11326,160,0
2025-11-25 05:00:00,4140.845,4152.034,4140.845,4150.888,12367,160,0
2025-11-25 06:00:00,4150.921,4152.125,4138.542,4141.605,18037,160,0
2025-11-25 07:00:00,4141.571,4146.085,4130.277,4132.529,16626,160,0
2025-11-25 08:00:00,4132.614,4139.522,4109.156,4116.115,20363,160,0
2025-11-25 09:00:00,4116.158,4131.381,4113.866,4128.403,18557,160,0
2025-11-25 10:00:00,4128.421,4138.882,4127.461,4131.192,13725,160,0
2025-11-25 11:00:00,4131.274,4137.378,4127.737,4133.459,12538,160,0
2025-11-25 12:00:00,4133.502,4138.759,4115.964,4129.871,21387,160,0
2025-11-25 13:00:00,4129.906,4150.868,4129.392,4147.707,23231,160,0
2025-11-25 14:00:00,4147.681,4148.73,4111.034,4125.254,37215,160,0
2025-11-25 15:00:00,4125.305,4133.846,4117.946,4123.13,26102,160,0
2025-11-25 16:00:00,4123.092,4141.444,4122.107,4136.278,18260,160,0
2025-11-25 17:00:00,4136.279,4159.414,4135.947,4146.103,30886,160,0
2025-11-25 18:00:00,4146.136,4150.996,4132.539,4134.318,18685,160,0
2025-11-25 19:00:00,4134.36,4140.371,4128.456,4133.761,16162,160,0
2025-11-25 20:00:00,4133.797,4138.419,4130.498,4132.303,13756,160,0
2025-11-25 21:00:00,4132.257,4132.528,4127.675,4130.768,6647,160,0
2025-11-25 23:00:00,4132.695,4137.003,4129.751,4133.73,7226,160,0
2025-11-26 00:00:00,4133.737,4144.433,4132.595,4142.69,10561,160,0
2025-11-26 01:00:00,4142.744,4152.915,4138.507,4148.541,16425,160,0
2025-11-26 02:00:00,4148.494,4166.77,4147.303,4161.582,19203,160,0
2025-11-26 03:00:00,4161.631,4169.421,4160.325,4166.104,11269,160,0
2025-11-26 04:00:00,4166.062,4167.081,4156.505,4161.942,10011,160,0
2025-11-26 05:00:00,4161.99,4168.638,4160.096,4162.285,12393,160,0
2025-11-26 06:00:00,4162.25,4162.868,4146.627,4150.128,15253,160,0
2025-11-26 07:00:00,4150.16,4161.521,4149.234,4157.237,12266,160,0
2025-11-26 08:00:00,4157.352,4168.596,4154.696,4161.048,16542,160,0
2025-11-26 09:00:00,4161.115,4164.679,4156.692,4162.741,12244,160,0
2025-11-26 10:00:00,4162.775,4165.212,4156.121,4159.889,13013,160,0
2025-11-26 11:00:00,4159.93,4173.161,4157.792,4171.556,12529,160,0
2025-11-26 12:00:00,4171.577,4173.595,4148.744,4155.239,20689,160,0
2025-11-26 13:00:00,4155.286,4166.644,4149.052,4153.21,22378,160,0
2025-11-26 14:00:00,4153.287,4156.95,4139.824,4142.256,30990,160,0
2025-11-26 15:00:00,4142.185,4165.81,4136.508,4165.246,26420,160,0
2025-11-26 16:00:00,4165.286,4168.452,4160.647,4167.005,17371,160,0
2025-11-26 17:00:00,4167.037,4169.821,4165.066,4167.112,11692,160,0
2025-11-26 18:00:00,4167.155,4171.745,4157.951,4164.612,16885,160,0
2025-11-26 19:00:00,4164.656,4169.85,4162.398,4163.254,10377,160,0
2025-11-26 20:00:00,4163.268,4167.494,4161.28,4164.006,11384,160,0
2025-11-26 21:00:00,4164.045,4167.596,4162.242,4163.971,5476,160,0
